subject,batch,start_date,end_date,week_count
Medicine,A,2026-09-07,2026-09-27,3
Medicine,B,2026-09-28,2026-10-18,3
Medicine,C,2026-10-19,2026-11-08,3
Medicine,D,2026-11-09,2026-11-29,3
Medicine,A,2026-11-30,2026-12-06,1
Medicine,B,2026-12-07,2026-12-13,1
Medicine,C,2026-12-14,2026-12-20,1
Medicine,D,2026-12-21,2026-12-27,1
Surgery,A,2026-09-28,2026-10-18,3
Surgery,B,2026-10-19,2026-11-08,3
Surgery,C,2026-11-09,2026-11-29,3
Surgery,D,2026-09-07,2026-09-27,3
Obst & Gynae,A,2026-10-19,2026-11-08,3
Obst & Gynae,B,2026-11-09,2026-11-29,3
Obst & Gynae,C,2026-09-07,2026-09-27,3
Obst & Gynae,D,2026-09-28,2026-10-18,3
Paediatrics,A,2026-11-09,2026-11-29,3
Paediatrics,B,2026-09-07,2026-09-27,3
Paediatrics,C,2026-09-28,2026-10-18,3
Paediatrics,D,2026-10-19,2026-11-08,3
Ortho,A,2026-12-07,2026-12-13,1
Ortho,B,2026-12-14,2026-12-20,1
Ortho,C,2026-12-21,2026-12-27,1
Ortho,D,2026-11-30,2026-12-06,1
ENT,A,2026-12-14,2026-12-20,1
ENT,B,2026-12-21,2026-12-27,1
ENT,C,2026-11-30,2026-12-06,1
ENT,D,2026-12-07,2026-12-13,1
Ophthal,A,2026-12-21,2026-12-27,1
Ophthal,B,2026-11-30,2026-12-06,1
Ophthal,C,2026-12-07,2026-12-13,1
Ophthal,D,2026-12-14,2026-12-20,1
PSY,A,2026-12-28,2027-01-03,1
PSY,B,2027-01-04,2027-01-10,1
PSY,C,2027-01-11,2027-01-17,1
PSY,D,2027-01-18,2027-01-24,1
Radio,A,2027-01-04,2027-01-10,1
Radio,B,2027-01-11,2027-01-17,1
Radio,C,2027-01-18,2027-01-24,1
Radio,D,2026-12-28,2027-01-03,1
Derm,A,2027-01-11,2027-01-17,1
Derm,B,2027-01-18,2027-01-24,1
Derm,C,2026-12-28,2027-01-03,1
Derm,D,2027-01-04,2027-01-10,1
Anaes,A,2027-01-18,2027-01-24,1
Anaes,B,2026-12-28,2027-01-03,1
Anaes,C,2027-01-04,2027-01-10,1
Anaes,D,2027-01-01,2027-01-17,1
