day,start_time,end_time,block,session_type,department_subject,batch_a_subject,batch_b_subject,batch_c_subject,day_of_month,details
MON,08:00,08:45,Theory/SDL,THEORY,Gen Surgery,,,,,
MON,08:45,09:30,Theory/SDL,THEORY,Gen Medicine,,,,,
MON,09:30,10:15,Theory/SDL,SDL,Medicine,,,,,
MON,14:00,15:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,,Obst & Gynae,Gen Surgery,Gen Med,,
MON,15:00,16:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,,Gen Med,Obst & Gynae,Gen Surgery,,
MON,16:00,17:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,Radio,,,,4-5,
MON,16:00,17:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,Dermatology,,,,1-3,
TUE,08:00,08:45,Theory/SDL,THEORY,Obst & Gynae,,,,,
TUE,08:45,09:30,Theory/SDL,THEORY,Surgery,,,,,
TUE,09:30,10:15,Theory/SDL,SDL,Surgery,,,,,
TUE,14:00,15:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,,Gen Surgery,Gen Med,Obst & Gynae,,
TUE,15:00,16:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,Dermatology,,,,1,
TUE,15:00,16:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,Psychiatry,,,,2,
TUE,15:00,16:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,Anaesthesia,,,,3-5,
TUE,16:00,17:00,Practical/Tutorial/Small Group Teaching/Mentorship,SDL,Dermatology,,,,1-2,
TUE,16:00,17:00,Practical/Tutorial/Small Group Teaching/Mentorship,SDL,Psychiatry,,,,3,
TUE,16:00,17:00,Practical/Tutorial/Small Group Teaching/Mentorship,SDL,Radio,,,,4-5,
WED,08:00,08:45,Theory/SDL,THEORY,ENT,,,,,
WED,08:45,09:30,Theory/SDL,THEORY,Paediatrics,,,,,
WED,09:30,10:15,Theory/SDL,SDL,Paediatrics,,,,,
WED,14:00,15:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,,Gen Med,Obst & Gynae,Gen Surgery,,
WED,15:00,16:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,,Obst & Gynae,Gen Surgery,Gen Med,,
WED,16:00,17:00,Practical/Tutorial/Small Group Teaching/Mentorship,MENTORSHIP,,,,,
THU,08:00,08:45,Theory/SDL,THEORY,Gen Medicine,,,,,
THU,08:45,09:30,Theory/SDL,THEORY,Obst & Gynae,,,,,
THU,09:30,10:15,Theory/SDL,SDL,Obst & Gynae,,,,,
THU,14:00,15:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,Paediatrics,,,,,
THU,15:00,16:00,Practical/Tutorial/Small Group Teaching/Mentorship,THEORY,Orthopaedics,,,,1-2;4,
THU,15:00,16:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,Orthopaedics,,,,3;5,
THU,16:00,17:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,Ophthal,,,,1-4,
FRI,08:00,08:45,Theory/SDL,THEORY,Gen Surgery,,,,,
FRI,08:45,09:30,Theory/SDL,THEORY,Medicine,,,,,
FRI,09:30,10:15,Theory/SDL,SDL,Medicine,,,,,
FRI,14:00,15:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,,Gen Surgery,Gen Med,Obst & Gynae,,
FRI,15:00,16:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,,Obst & Gynae,Gen Surgery,Gen Med,,
SAT,08:00,08:45,Theory/SDL,THEORY,Dermatology,,,,1-2,
SAT,08:00,08:45,Theory/SDL,THEORY,Psychiatry,,,,3-4,
SAT,08:00,08:45,Theory/SDL,THEORY,Radio,,,,5,
SAT,08:45,09:30,Theory/SDL,THEORY,Ophthal,,,,,
SAT,09:30,10:15,Theory/SDL,SDL,Ophthal,,,,,
SAT,14:00,15:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,,Gen Med,Obst & Gynae,Gen Surgery,,
SAT,15:00,16:00,Practical/Tutorial/Small Group Teaching/Mentorship,TUTORIAL,,Gen Surgery,Gen Med,Obst & Gynae,,
SAT,16:00,17:00,Practical/Tutorial/Small Group Teaching/Mentorship,MENTORSHIP,,,,,
